time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2010-06-23T11:47:53.140Z,25.604,63.3,10,4.6,mb,41,82,,1.17,us,usp000hedr,2014-11-07T01:41:43.691Z,"41 km NNW of Pasni, Pakistan",earthquake,,0,,12,reviewed,us,us
2009-04-30T10:04:26.880Z,27.742,61.422,69,5.2,mwb,240,57,,0.97,us,usp000gwpw,2016-11-10T02:11:28.494Z,"56 km SSE of Kh?sh, Iran",earthquake,,,,,reviewed,us,us
2009-02-25T05:03:12.030Z,24.969,62.89,67.2,4.9,mb,74,151.2,,0.85,us,usp000gucs,2014-11-07T01:38:27.079Z,"59 km ESE of Gwadar, Pakistan",earthquake,,21.8,,40,reviewed,us,us
2008-10-16T10:26:33.620Z,24.79,61.543,10,3.9,mb,12,238,,1.11,us,usp000gkcf,2014-11-07T01:37:29.711Z,"35 km SW of Jiwani, Pakistan",earthquake,,,,4,reviewed,us,us
2008-09-13T08:49:21.060Z,26.512,62.196,35,3.9,mb,12,273.3,,0.85,us,usp000ggza,2014-11-07T01:37:11.664Z,"102 km WNW of Turbat, Pakistan",earthquake,,,,3,reviewed,us,us
2008-07-09T20:28:55.900Z,25.29,62.846,35,4.1,mb,15,273.6,,1.2,us,usp000gbs2,2014-11-07T01:36:36.248Z,"55 km ENE of Gwadar, Pakistan",earthquake,,,,3,reviewed,us,us
2007-05-06T10:57:58.160Z,24.99,62.954,27.3,4.8,mb,88,97.2,,0.79,us,usp000fbcn,2014-11-07T01:32:24.968Z,"60 km WSW of Pasni, Pakistan",earthquake,,,,44,reviewed,us,us
2007-05-06T04:01:02.540Z,25.076,62.988,27.8,4.8,mb,122,97.2,,0.7,us,usp000fbbx,2014-11-07T01:32:24.857Z,"52 km WSW of Pasni, Pakistan",earthquake,,,,68,reviewed,us,us
2007-05-06T03:53:56.200Z,25.033,62.987,31.9,4.6,mb,61,171.7,,0.64,us,usp000fbbw,2014-11-07T01:32:24.851Z,"54 km WSW of Pasni, Pakistan",earthquake,,25,,28,reviewed,us,us
2007-04-29T06:33:54.430Z,25.316,62.154,28.8,5,mb,145,80.9,,0.87,us,usp000fav4,2014-11-07T01:32:18.275Z,"27 km NW of Gwadar, Pakistan",earthquake,,,,80,reviewed,us,us
2007-04-21T22:01:25.200Z,27.01,60.57,18,4.2,mb,49,149.8,,,us,usp000fa9n,2014-11-07T01:32:15.109Z,"24 km SSW of Iranshahr, Iran",earthquake,,,,19,reviewed,teh,us
2006-09-09T12:22:09.160Z,24.993,62.129,27.8,4.8,mb,63,99.8,,0.88,us,usp000essc,2014-11-07T01:30:11.286Z,"24 km SW of Gwadar, Pakistan",earthquake,,,,39,reviewed,us,us
2006-07-20T03:00:11.100Z,26.97,60.59,14.1,4.1,mb,22,192.9,,,us,usp000ep5j,2014-11-07T01:29:43.581Z,"27 km SSW of Iranshahr, Iran",earthquake,,,,5,reviewed,thr,us
2006-07-18T23:27:06.460Z,26.295,61.118,43.8,5.3,mwc,369,47.4,,0.77,us,usp000ep1a,2022-05-02T18:23:55.737Z,"36 km E of Qa?r-e Qand, Iran",earthquake,,,,,reviewed,us,hrv
2006-04-08T03:32:15.360Z,25.951,62.615,30,3.8,mb,14,234,,0.88,us,usp000edxv,2014-11-07T01:28:44.408Z,"43 km W of Turbat, Pakistan",earthquake,,0,,3,reviewed,us,us
2005-11-24T21:26:44.460Z,25.328,60.219,10,4.2,mb,20,99.6,,1.72,us,usp000e4ua,2014-11-07T01:27:43.121Z,"42 km W of Chabahar, Iran",earthquake,,,,4,reviewed,us,us
2005-11-24T21:17:49.670Z,25.088,60.365,10,4.2,mb,26,92.2,,1.02,us,usp000e4u8,2014-11-07T01:27:43.110Z,"35 km SW of Chabahar, Iran",earthquake,,,,10,reviewed,us,us
2005-09-10T03:30:38.420Z,26.832,61.156,49.1,4.8,mb,160,44.5,,0.71,us,usp000dz59,2022-05-02T17:57:39.404Z,"62 km SE of Iranshahr, Iran",earthquake,,,,91,reviewed,us,us
